class,required,richResult,recommended
BlogPosting,[],Article,"[author, author.name, author.url, dateModified, datePublished, headline, image]"
BreadcrumbList,"[itemListElement, itemListElement.position, itemListElement.name, itemListElement.item]",Breadcrumbs,[]
HowTo,"[name, step, step.text]",How-to,"[supply, tool, totalTime, step.name]"
Dataset,"[name, description]",Dataset,"[alternateName, creator, citation, funder, hasPart, isPartOf, identifier, isAccessibleForFree, keywords, license, measurementTechnique, sameAs, spatialCoverage, temporalCoverage, variableMeasured, version, url]"
Occupation,"[estimatedSalary, estimatedSalary.duration, estimatedSalary.name, name, occupationLocation]",Estimated Salary,"[description, estimatedSalary.currency, estimatedSalary.median, estimatedSalary.percentile10, estimatedSalary.percentile25, estimatedSalary.percentile75, estimatedSalary.percentile90, mainEntityOfPage, mainEntityOfPage.lastReviewed]"
ClaimReview,"[claimReviewed, reviewRating, url]",Fact Check,"[author, itemReviewed]"
FAQPage,[mainEntity],FAQ,[]
ImageObject,[contentUrl],Image Metadata,"[acquireLicensePage, creator, creator.name, creditText, copyrightNotice, license]"
JobPosting,"[datePosted, description, hiringOrganization, jobLocation, title]",Job Posting,"[applicantLocationRequirements, baseSalary, directApply, employmentType, identifier, jobLocationType, validThrough]"
VideoObject,"[educationalAlignment, educationalLevel, learningResourceType]",Learning Video,"[educationalAlignment.educationalFramework, educationalAlignment.targetName, educationalAlignment.targetUrl, hasPart, text]"
LocalBusiness,"[address, name]",Local Business,"[aggregateRating, department, geo, geo.latitude, geo.longitude, menu, openingHoursSpecification, openingHoursSpecification.closes, openingHoursSpecification.dayOfWeek, openingHoursSpecification.opens, openingHoursSpecification.validFrom, openingHoursSpecification.validThrough, priceRange, review, servesCuisine, telephone, url]"
MathSolver,"[potentialAction, potentialAction.mathExpression-input, url, usageInfo, potentialAction.target]",Math Solvers,"[inLanguage, assesses, potentialAction.eduQuestionType]"
Movie,"[image, name]",Movie carousel,"[aggregateRating, dateCreated, director, review]"
Organization,[],Organization,"[address, address.addressCountry, address.addressLocality, address.addressRegion, address.postalCode, address.streetAddress, alternateName, contactPoint, contactPoint.email, contactPoint.telephone, description, duns, email, foundingDate, globalLocationNumber, hasMerchantReturnPolicy, hasMemberProgram, iso6523Code, legalName, leiCode, logo, naics, name, numberOfEmployees, sameAs, taxID, telephone, url, vatID]"
Quiz,"[name, aggregateRating]",Practice Problem,[]
Offer,[price],Product,"[availability, priceCurrency, priceSpecification.priceCurrency, priceValidUntil]"
OfferShippingDetails,"[deliveryTime, shippingDestination, shippingRate, shippingRate.currency, shippingRate.value, shippingRate.maxValue]",Merchant listing,
DefinedRegion,[addressCountry],Merchant listing,[postalCode]
ShippingDeliveryTime,[],Merchant listing,"[handlingTime, transitTime]"
QuantitativeValue,"[maxValue, minValue, unitCode]",Merchant listing,
MerchantReturnPolicy,"[applicableCountry, returnPolicyCategory]",Merchant listing,"[merchantReturnDays, returnFees, returnMethod, returnShippingFeesAmount]"
ProductGroup,[name],Variants,"[aggregateRating, brand, brand.name, description, hasVariant, productGroupID, review, url, variesBy]"
MemberProgram,"[description, hasTiers, name]",Loyalty program,[url]
MemberProgramTier,"[hasTierBenefit, name]",Loyalty program,"[hasTierRequirement, membershipPointsEarned, url]"
ProfilePage,[mainEntity],Profile page,"[dateCreated, dateModified]"
Person,[name],Profile page,"[agentInteractionStatistic, alternateName, description, identifier, image, interactionStatistic, sameAs]"
Question,"[answerCount, acceptedAnswer, name]",Q&A Page,"[author, author.url, comment, dateModified, datePublished, image, text, upvoteCount, video]"
Answer,[text],Q&A Page,"[author, author.url, comment, dateModified, datePublished, image, upvoteCount, url, video]"
Comment,[text],Q&A Page,"[author, author.url, comment, dateModified, datePublished, image, video]"
AggregateRating,"[ratingValue, reviewCount]",Review Snippet,[]
